"","lookback","still_thresh","zfv","zrv","yfv","yrv","zfc","zrc","yfc","yrc","control_region_taps","canon_taps_found","frac_taps_found","total_taps_found","canon_taps"
"166",20,0.05,-0.3,0.25,0,0,2,2,0,0,0,0,0,0,51
"167",20,0.05,-0.25,0.25,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"168",20,0.05,-0.2,0.25,0,0,2,2,0,0,0,1,0.0196078431372549,1,51
"169",20,0.05,-0.35,0.3,0,0,2,2,0,0,0,0,0,0,51
"170",20,0.05,-0.3,0.3,0,0,2,2,0,0,0,0,0,0,51
"171",20,0.05,-0.25,0.3,0,0,2,2,0,0,0,0,0,0,51
"172",20,0.05,-0.2,0.3,0,0,2,2,0,0,0,0,0,0,51
"173",20,0.05,-0.35,0.35,0,0,2,2,0,0,0,0,0,0,51
"174",20,0.05,-0.3,0.35,0,0,2,2,0,0,0,0,0,0,51
"175",20,0.05,-0.25,0.35,0,0,2,2,0,0,0,0,0,0,51
"176",20,0.05,-0.2,0.35,0,0,2,2,0,0,0,0,0,0,51
"177",20,0.05,-0.35,0.4,0,0,2,2,0,0,0,0,0,0,51
"178",20,0.05,-0.3,0.4,0,0,2,2,0,0,0,0,0,0,51
"179",20,0.05,-0.25,0.4,0,0,2,2,0,0,0,0,0,0,51
"180",20,0.05,-0.2,0.4,0,0,2,2,0,0,0,0,0,0,51
"181",20,0.05,-0.35,0,0,0,3,2,0,0,0,0,0,0,51
"182",20,0.05,-0.3,0,0,0,3,2,0,0,0,0,0,0,51
"183",20,0.05,-0.25,0,0,0,3,2,0,0,1,0,0,1,51
"184",20,0.05,-0.2,0,0,0,3,2,0,0,3,0,0,3,51
"185",20,0.05,-0.35,0.05,0,0,3,2,0,0,0,0,0,0,51
"186",20,0.05,-0.3,0.05,0,0,3,2,0,0,0,0,0,0,51
"187",20,0.05,-0.25,0.05,0,0,3,2,0,0,0,0,0,0,51
"188",20,0.05,-0.2,0.05,0,0,3,2,0,0,0,0,0,0,51
"189",20,0.05,-0.35,0.1,0,0,3,2,0,0,0,0,0,0,51
"190",20,0.05,-0.3,0.1,0,0,3,2,0,0,0,0,0,0,51
"191",20,0.05,-0.25,0.1,0,0,3,2,0,0,0,0,0,0,51
"192",20,0.05,-0.2,0.1,0,0,3,2,0,0,0,0,0,0,51
"193",20,0.05,-0.35,0.15,0,0,3,2,0,0,0,0,0,0,51
"194",20,0.05,-0.3,0.15,0,0,3,2,0,0,0,0,0,0,51
"195",20,0.05,-0.25,0.15,0,0,3,2,0,0,0,0,0,0,51
"196",20,0.05,-0.2,0.15,0,0,3,2,0,0,0,0,0,0,51
"197",20,0.05,-0.35,0.2,0,0,3,2,0,0,0,0,0,0,51
"198",20,0.05,-0.3,0.2,0,0,3,2,0,0,0,0,0,0,51
"199",20,0.05,-0.25,0.2,0,0,3,2,0,0,0,0,0,0,51
"200",20,0.05,-0.2,0.2,0,0,3,2,0,0,0,0,0,0,51
"201",20,0.05,-0.35,0.25,0,0,3,2,0,0,0,0,0,0,51
"202",20,0.05,-0.3,0.25,0,0,3,2,0,0,0,0,0,0,51
"203",20,0.05,-0.25,0.25,0,0,3,2,0,0,0,0,0,0,51
"204",20,0.05,-0.2,0.25,0,0,3,2,0,0,0,0,0,0,51
"205",20,0.05,-0.35,0.3,0,0,3,2,0,0,0,0,0,0,51
"206",20,0.05,-0.3,0.3,0,0,3,2,0,0,0,0,0,0,51
"207",20,0.05,-0.25,0.3,0,0,3,2,0,0,0,0,0,0,51
"208",20,0.05,-0.2,0.3,0,0,3,2,0,0,0,0,0,0,51
"209",20,0.05,-0.35,0.35,0,0,3,2,0,0,0,0,0,0,51
"210",20,0.05,-0.3,0.35,0,0,3,2,0,0,0,0,0,0,51
