h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
0.064995,-0.013667,0.013926,0.064999,-0.013658,0.014033,1.009464,-0.937622,2.313624,0.064999,-0.013663,0.013983,1.009464,-0.937622,2.313632,1.009463,-0.937622,2.313617,0.016161,-0.016372,1.010669,-0.939244,2.315728,1.010669,-0.939244,2.315728,0.000015,40
0.006559,-0.008819,0.011408,0.006559,-0.008824,0.011494,1.009682,-0.937916,2.314006,0.006559,-0.008821,0.011451,1.009683,-0.937916,2.314012,1.009682,-0.937916,2.314000,0.011736,-0.011822,1.008348,-0.943836,2.332315,1.008348,-0.943836,2.332315,0.000012,41
-0.007256,-0.032195,0.099528,-0.007253,-0.032194,0.099599,1.009440,-0.938989,2.317325,-0.007256,-0.032195,0.099564,1.009441,-0.938989,2.317330,1.009440,-0.938989,2.317320,0.099446,-0.100136,0.993378,-0.937455,2.315728,0.993378,-0.937455,2.315728,0.000010,42
-0.087354,0.008347,-0.008719,-0.087351,0.008347,-0.008676,1.006529,-0.938711,2.317035,-0.087351,0.008347,-0.008698,1.006529,-0.938711,2.317039,1.006529,-0.938711,2.317030,-0.011256,0.011326,1.014979,-0.939408,2.315728,1.014979,-0.939408,2.315728,0.000009,43
0.045952,-0.003802,-0.007117,0.045955,-0.003802,-0.007067,1.008060,-0.938838,2.316798,0.045952,-0.003802,-0.007095,1.008061,-0.938838,2.316802,1.008060,-0.938838,2.316795,-0.005518,0.006927,1.009634,-0.939425,2.315728,1.009634,-0.939425,2.315728,0.000007,44
0.008562,-0.003188,-0.005844,0.008562,-0.003194,-0.005801,1.008346,-0.938944,2.316604,0.008562,-0.003190,-0.005822,1.008346,-0.938944,2.316607,1.008346,-0.938944,2.316602,-0.005482,0.005801,0.979053,-0.941314,2.332315,0.979053,-0.941314,2.332315,0.000005,45
-0.159309,-0.012889,0.085416,-0.159309,-0.012885,0.085444,1.003036,-0.939374,2.319452,-0.159309,-0.012887,0.085430,1.003036,-0.939374,2.319454,1.003036,-0.939373,2.319450,0.077651,-0.085769,1.019125,-0.941719,2.332315,1.019125,-0.941719,2.332315,0.000005,46
0.087501,-0.012742,0.069945,0.087501,-0.012746,0.069966,1.005952,-0.939798,2.321784,0.087504,-0.012744,0.069959,1.005952,-0.939798,2.321786,1.005952,-0.939798,2.321782,0.069945,-0.075288,1.011765,-0.942142,2.332315,1.011765,-0.942142,2.332315,0.000004,47
0.031600,-0.012748,0.057263,0.031600,-0.012748,0.057292,1.007006,-0.940223,2.323693,0.031600,-0.012748,0.057278,1.007006,-0.940223,2.323694,1.007006,-0.940223,2.323692,0.057263,-0.059718,1.010646,-0.943173,2.332315,1.010646,-0.943173,2.332315,0.000003,48
0.019795,-0.016031,0.046871,0.019798,-0.016034,0.046878,1.007666,-0.940758,2.325255,0.019795,-0.016032,0.046871,1.007666,-0.940758,2.325257,1.007666,-0.940758,2.325254,0.046163,-0.046019,1.014588,-0.942733,2.332315,1.014588,-0.942733,2.332315,0.000003,49
0.037651,-0.010747,0.038388,0.037647,-0.010747,0.038395,1.008920,-0.941116,2.326535,0.037647,-0.010747,0.038395,1.008921,-0.941116,2.326536,1.008920,-0.941116,2.326534,0.041358,-0.037810,1.010068,-0.942754,2.332315,1.010068,-0.942754,2.332315,0.000002,50
0.006244,-0.008910,0.031428,0.006244,-0.008910,0.031443,1.009129,-0.941413,2.327583,0.006244,-0.008910,0.031435,1.009129,-0.941413,2.327584,1.009129,-0.941413,2.327582,0.031347,-0.030826,0.992367,-0.943528,2.332315,0.992367,-0.943528,2.332315,0.000002,51
-0.091152,-0.011503,0.025713,-0.091149,-0.011500,0.025728,1.006090,-0.941796,2.328440,-0.091149,-0.011501,0.025721,1.006090,-0.941796,2.328441,1.006090,-0.941796,2.328440,0.025713,-0.025728,0.993956,-0.948213,2.349142,0.993956,-0.948213,2.349142,0.000001,52
-0.066004,-0.034890,0.112588,-0.066000,-0.034890,0.112596,1.003890,-0.942959,2.332193,-0.066000,-0.034890,0.112588,1.003890,-0.942959,2.332194,1.003890,-0.942959,2.332193,0.121907,-0.112596,1.000835,-0.937856,2.315728,1.000835,-0.937856,2.315728,0.000001,53
